Customer Name,Buyer Segmentation,Year,Month,XWR,Total Qty
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73800.00,11.5
AJAY POLYMERS,Loyal Customers,2017,April,73500.00,19
AJAY POLYMERS,Loyal Customers,2017,April,73500.00,21
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,9
GOWELL RUBBER INDUSTRIES,Customers Needing Attention,2017,April,75304.00,1
ALP OVERSEAS (P) LTD.,Loyal Customers,2017,April,75249.00,8
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,4.48
HIMGIRI ENTERPRISES PVT. LTD,Loyal Customers,2017,April,73749.00,5
NIRMESH ENTERPRISES PVT LTD,At Risk Customer,2017,April,73850.00,15
P.C. PLASTIC,Lost Customers,2017,April,74450.00,4
SHREE MAHESHWARI INDUSTRIES,Potential Loyalists,2017,April,74300.00,10
SHRIRAM AXIALL PVT. LTD.,Loyal Customers,2017,April,75250.00,5
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73800.00,16
TRI SHAKTI POLYVIN PVT LTD,Loyal Customers,2017,April,73400.00,11
TRI SHAKTI POLYVIN PVT LTD,Loyal Customers,2017,April,73400.00,4
3 R POLYMERS PVT LTD,Loyal Customers,2017,April,73350.00,19
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,72500.00,6
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,72500.00,4
DELVIN PLASTICS PVT LTD,Loyal Customers,2017,April,73849.00,9.5
DELVIN PLASTICS PVT LTD (UNIT-II),Loyal Customers,2017,April,73849.00,9.5
DIPLAST PLASTICS LIMITED,Loyal Customers,2017,April,72500.00,10
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,9.7
KEI INDUSTRIES LIMITED,Loyal Customers,2017,April,76250.00,13
ROOP POLYMERS LIMITED,Loyal Customers,2017,April,74204.00,3
SHIVAM POLYMERS,At Risk Customer,2017,April,74204.00,2.2
SHREE BHANDARI PLASTIC PVT LTD,Loyal Customers,2017,April,74650.00,10
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,5
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,20
